Order ID,Order Date,Ship Date,Ship Mode,Days to Ship Actual,Days to Ship Scheduled,Ship Status,Customer ID,Customer Name,Segment,Country/Region,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Sales Forecast,Sales Target,Price,Profit Ratio,Sales Target Status,forecast_bias,Sales Forecast Status
CA-2017-167199,1/6/2017,1/10/2017,Standard Class,4,6,Shipped Early,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,7,1,0,3,10,699,7,42.86,Target Not Achieved,3,Over Forecast
CA-2017-130813,1/6/2017,1/8/2017,Second Class,2,3,Shipped Early,LS-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19,3,0,9,29,17,6.33,47.37,Target Achieved,10,Over Forecast
CA-2017-105417,1/7/2017,1/12/2017,Standard Class,5,6,Shipped Early,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",77,3,60,-54,115,81,25.67,-70.13,Target Not Achieved,38,Over Forecast
CA-2017-105417,1/7/2017,1/12/2017,Standard Class,5,6,Shipped Early,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10,7,80,-18,16,11,1.43,-180,Target Not Achieved,6,Over Forecast
CA-2017-135405,1/9/2017,1/13/2017,Standard Class,4,6,Shipped Early,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,OFF-AR-10004078,Office Supplies,Art,Newell 312,9,2,20,1,14,9,4.5,11.11,Target Achieved,5,Over Forecast
CA-2017-135405,1/9/2017,1/13/2017,Standard Class,4,6,Shipped Early,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31,3,20,10,47,29,10.33,32.26,Target Achieved,16,Over Forecast
CA-2017-149020,1/10/2017,1/15/2017,Standard Class,5,6,Shipped Early,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",52,1,0,21,78,47,52,40.38,Target Achieved,26,Over Forecast
CA-2017-149020,1/10/2017,1/15/2017,Standard Class,5,6,Shipped Early,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,OFF-LA-10004272,Office Supplies,Labels,Avery 482,3,1,0,1,4,3,3,33.33,Target Achieved,1,Over Forecast
CA-2017-130092,1/11/2017,1/14/2017,First Class,3,1,Shipped Late,SV-20365,Seth Vernon,Consumer,United States,Dover,Delaware,19901,East,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",10,2,0,3,15,9,5,30,Target Achieved,5,Over Forecast
CA-2017-162775,1/13/2017,1/15/2017,Second Class,2,3,Shipped Early,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-ST-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,573,6,0,34,857,570,95.5,5.93,Target Achieved,284,Over Forecast
CA-2017-162775,1/13/2017,1/15/2017,Second Class,2,3,Shipped Early,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,6,3,0,3,8,570,2,50,Target Not Achieved,2,Over Forecast
CA-2017-157147,1/13/2017,1/18/2017,Standard Class,5,6,Shipped Early,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,20,5,0,7,30,1387,4,35,Target Not Achieved,10,Over Forecast
CA-2017-118192,1/13/2017,1/18/2017,Standard Class,5,6,Shipped Early,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,OFF-BI-10003476,Office Supplies,Binders,Avery Metallic Poly Binders,3,2,70,-3,5,1387,1.5,-100,Target Not Achieved,2,Over Forecast
CA-2017-157147,1/13/2017,1/18/2017,Standard Class,5,6,Shipped Early,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1326,5,0,239,1986,1387,265.2,18.02,Target Not Achieved,660,Over Forecast
CA-2017-118192,1/13/2017,1/18/2017,Standard Class,5,6,Shipped Early,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,OFF-PA-10002947,Office Supplies,Paper,Xerox 1923,37,7,20,13,56,1387,5.29,35.14,Target Not Achieved,19,Over Forecast
CA-2017-162775,1/13/2017,1/15/2017,Second Class,2,3,Shipped Early,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,11,2,0,5,17,570,5.5,45.45,Target Not Achieved,6,Over Forecast
CA-2017-109232,1/13/2017,1/16/2017,Second Class,3,3,Shipped On Time,ND-18370,Natalie DeCherney,Consumer,United States,Mount Pleasant,South Carolina,29464,South,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,546,6,0,87,818,792,91,15.93,Target Not Achieved,272,Over Forecast
CA-2017-157147,1/13/2017,1/18/2017,Standard Class,5,6,Shipped Early,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",334,3,15,4,500,792,111.33,1.2,Target Not Achieved,166,Over Forecast
CA-2017-162775,1/13/2017,1/15/2017,Second Class,2,3,Shipped Early,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,51,3,0,25,76,570,17,49.02,Target Not Achieved,25,Over Forecast
CA-2017-162775,1/13/2017,1/15/2017,Second Class,2,3,Shipped Early,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,647,6,0,259,969,595,107.83,40.03,Target Achieved,322,Over Forecast
CA-2017-149524,1/14/2017,1/15/2017,First Class,1,1,Shipped On Time,BS-11590,Brendan Sweed,Corporate,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10003433,Furniture,Bookcases,Sauder Cornerstone Collection Library,62,4,50,-53,93,66,15.5,-85.48,Target Not Achieved,31,Over Forecast
CA-2017-103366,1/15/2017,1/17/2017,First Class,2,1,Shipped Late,EH-13990,Erica Hackney,Consumer,United States,Roswell,Georgia,30076,South,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,150,5,0,66,225,144,30,44,Target Achieved,75,Over Forecast
CA-2017-115791,1/16/2017,1/18/2017,Second Class,2,3,Shipped Early,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,30,3,20,10,45,49,10,33.33,Target Not Achieved,15,Over Forecast
CA-2017-115791,1/16/2017,1/18/2017,Second Class,2,3,Shipped Early,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127,6,20,29,190,109,21.17,22.83,Target Achieved,63,Over Forecast
CA-2017-115791,1/16/2017,1/18/2017,Second Class,2,3,Shipped Early,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-PH-10004614,Technology,Phones,AT&T 841000 Phone,124,3,40,-31,186,112,41.33,-25,Target Achieved,62,Over Forecast
CA-2017-115791,1/16/2017,1/18/2017,Second Class,2,3,Shipped Early,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers,19,2,70,-14,28,49,9.5,-73.68,Target Not Achieved,9,Over Forecast
CA-2017-123477,1/18/2017,1/21/2017,Second Class,3,3,Shipped On Time,DW-13195,David Wiener,Corporate,United States,Springfield,Oregon,97477,West,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,65,4,20,6,97,66,16.25,9.23,Target Not Achieved,32,Over Forecast
CA-2017-146591,1/19/2017,1/20/2017,First Class,1,1,Shipped On Time,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32,10,70,-24,48,183,3.2,-75,Target Not Achieved,16,Over Forecast
CA-2017-146591,1/19/2017,1/20/2017,First Class,1,1,Shipped On Time,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-PA-10000659,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56,4,20,20,84,183,14,35.71,Target Not Achieved,28,Over Forecast
CA-2017-146591,1/19/2017,1/20/2017,First Class,1,1,Shipped On Time,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",109,5,20,37,163,183,21.8,33.94,Target Not Achieved,54,Over Forecast
CA-2017-146591,1/19/2017,1/20/2017,First Class,1,1,Shipped On Time,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181,5,70,-321,272,158,36.2,-177.35,Target Achieved,91,Over Forecast
CA-2017-167927,1/20/2017,1/26/2017,Standard Class,6,6,Shipped On Time,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,15,3,0,5,22,1244,5,33.33,Target Not Achieved,7,Over Forecast
CA-2017-167927,1/20/2017,1/26/2017,Standard Class,6,6,Shipped On Time,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,30,5,0,13,44,538,6,43.33,Target Not Achieved,14,Over Forecast
CA-2017-148614,1/20/2017,1/25/2017,Standard Class,5,6,Shipped Early,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002893,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",19,2,0,9,29,538,9.5,47.37,Target Not Achieved,10,Over Forecast
US-2017-147774,1/20/2017,1/26/2017,Standard Class,6,6,Shipped On Time,MM-18280,Muhammed MacIntyre,Corporate,United States,Smyrna,Tennessee,37167,South,OFF-BI-10003091,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,67,1,70,-52,101,67,67,-77.61,Target Achieved,34,Over Forecast
CA-2017-167927,1/20/2017,1/26/2017,Standard Class,6,6,Shipped On Time,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,44,3,0,13,66,538,14.67,29.55,Target Not Achieved,22,Over Forecast
US-2017-147627,1/20/2017,1/26/2017,Standard Class,6,6,Shipped On Time,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",39,4,0,12,58,1244,9.75,30.77,Target Not Achieved,19,Over Forecast
US-2017-147627,1/20/2017,1/26/2017,Standard Class,6,6,Shipped On Time,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-AR-10003811,Office Supplies,Art,Newell 327,7,3,0,2,10,538,2.33,28.57,Target Not Achieved,3,Over Forecast
CA-2017-167927,1/20/2017,1/26/2017,Standard Class,6,6,Shipped On Time,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,67,2,0,16,100,538,33.5,23.88,Target Not Achieved,33,Over Forecast
US-2017-147627,1/20/2017,1/26/2017,Standard Class,6,6,Shipped On Time,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1068,3,0,224,1599,1244,356,20.97,Target Not Achieved,531,Over Forecast
CA-2017-167927,1/20/2017,1/26/2017,Standard Class,6,6,Shipped On Time,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-BI-10000605,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19,5,0,9,29,538,3.8,47.37,Target Not Achieved,10,Over Forecast
CA-2017-167927,1/20/2017,1/26/2017,Standard Class,6,6,Shipped On Time,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,273,3,0,30,409,1244,91,10.99,Target Not Achieved,136,Over Forecast
CA-2017-167927,1/20/2017,1/26/2017,Standard Class,6,6,Shipped On Time,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,14,1,0,4,21,538,14,28.57,Target Not Achieved,7,Over Forecast
US-2017-147627,1/20/2017,1/26/2017,Standard Class,6,6,Shipped On Time,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-EN-10001539,Office Supplies,Envelopes,Staple envelope,23,3,0,11,35,538,7.67,47.83,Target Not Achieved,12,Over Forecast
US-2017-147627,1/20/2017,1/26/2017,Standard Class,6,6,Shipped On Time,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-AR-10002375,Office Supplies,Art,Newell 351,23,7,0,7,34,538,3.29,30.43,Target Not Achieved,11,Over Forecast
CA-2017-148614,1/20/2017,1/25/2017,Standard Class,5,6,Shipped Early,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19,2,0,6,29,1244,9.5,31.58,Target Not Achieved,10,Over Forecast
CA-2017-167927,1/20/2017,1/26/2017,Standard Class,6,6,Shipped On Time,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",248,4,10,94,371,538,62,37.9,Target Not Achieved,123,Over Forecast
US-2017-147627,1/20/2017,1/26/2017,Standard Class,6,6,Shipped On Time,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,TEC-PH-10001061,Technology,Phones,Apple iPhone 5C,700,7,0,182,1048,749,100,26,Target Not Achieved,348,Over Forecast
CA-2017-110422,1/21/2017,1/23/2017,Second Class,2,3,Shipped Early,TB-21400,Tom Boeckenhauer,Consumer,United States,Miami,Florida,33180,South,FUR-FU-10001889,Furniture,Furnishings,Ultra Door Pull Handle,25,3,20,4,38,25,8.33,16,Target Achieved,13,Over Forecast
CA-2017-146997,1/23/2017,1/27/2017,Standard Class,4,6,Shipped Early,SG-20605,Speros Goranitis,Consumer,United States,Lafayette,Indiana,47905,Central,OFF-FA-10003467,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",6,3,0,0,9,40,2,0,Target Not Achieved,3,Over Forecast
CA-2017-102645,1/23/2017,1/28/2017,Standard Class,5,6,Shipped Early,IM-15055,Ionia McGrath,Consumer,United States,Las Vegas,Nevada,89115,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,40,6,0,19,60,40,6.67,47.5,Target Achieved,20,Over Forecast
US-2017-155502,1/26/2017,1/31/2017,Standard Class,5,6,Shipped Early,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-PA-10000380,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",17,2,0,8,25,531,8.5,47.06,Target Not Achieved,8,Over Forecast
CA-2017-167997,1/26/2017,1/29/2017,First Class,3,1,Shipped Late,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701,Central,FUR-BO-10004409,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",142,2,0,40,213,124,71,28.17,Target Achieved,71,Over Forecast
US-2017-155502,1/26/2017,1/31/2017,Standard Class,5,6,Shipped Early,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,TEC-PH-10002103,Technology,Phones,Jabra SPEAK 410,188,2,0,53,282,343,94,28.19,Target Not Achieved,94,Over Forecast
US-2017-155502,1/26/2017,1/31/2017,Standard Class,5,6,Shipped Early,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,FUR-FU-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12,3,0,4,19,65,4,33.33,Target Not Achieved,7,Over Forecast
US-2017-155502,1/26/2017,1/31/2017,Standard Class,5,6,Shipped Early,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,TEC-PH-10004833,Technology,Phones,Macally Suction Cup Mount,155,13,0,0,233,343,11.92,0,Target Not Achieved,78,Over Forecast
US-2017-155502,1/26/2017,1/31/2017,Standard Class,5,6,Shipped Early,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-PA-10003072,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",19,3,0,9,29,531,6.33,47.37,Target Not Achieved,10,Over Forecast
US-2017-155502,1/26/2017,1/31/2017,Standard Class,5,6,Shipped Early,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-ST-10004337,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",490,8,0,0,734,531,61.25,0,Target Not Achieved,244,Over Forecast
US-2017-155502,1/26/2017,1/31/2017,Standard Class,5,6,Shipped Early,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,FUR-FU-10004587,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",63,3,0,31,94,65,21,49.21,Target Not Achieved,31,Over Forecast
CA-2017-167997,1/26/2017,1/29/2017,First Class,3,1,Shipped Late,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701,Central,OFF-BI-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,11,2,0,5,16,10,5.5,45.45,Target Achieved,5,Over Forecast
US-2017-117163,1/27/2017,2/2/2017,Standard Class,6,6,Shipped On Time,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,57,1,0,14,86,86,57,24.56,Target Not Achieved,29,Over Forecast
US-2017-117163,1/27/2017,2/2/2017,Standard Class,6,6,Shipped On Time,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,OFF-AR-10003179,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,36,4,0,12,55,86,9,33.33,Target Not Achieved,19,Over Forecast
US-2017-117163,1/27/2017,2/2/2017,Standard Class,6,6,Shipped On Time,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,FUR-TA-10003469,Furniture,Tables,Balt Split Level Computer Training Table,333,3,20,-17,499,360,111,-5.11,Target Not Achieved,166,Over Forecast
CA-2017-100328,1/28/2017,2/3/2017,Standard Class,6,6,Shipped On Time,JC-15340,Jasper Cacioppo,Consumer,United States,New York City,New York,10024,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",4,1,20,1,6,3,4,25,Target Achieved,2,Over Forecast
CA-2017-134103,1/30/2017,2/4/2017,Standard Class,5,6,Shipped Early,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234,Central,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,230,2,0,7,344,262,115,3.04,Target Not Achieved,114,Over Forecast
CA-2017-134103,1/30/2017,2/4/2017,Standard Class,5,6,Shipped Early,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234,Central,OFF-PA-10001204,Office Supplies,Paper,Xerox 1972,11,2,0,5,16,262,5.5,45.45,Target Not Achieved,5,Over Forecast
CA-2017-115161,1/31/2017,2/2/2017,First Class,2,1,Shipped Late,LC-17050,Liz Carlisle,Consumer,United States,Mission Viejo,California,92691,West,FUR-BO-10003966,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",291,2,15,3,435,308,145.5,1.03,Target Not Achieved,144,Over Forecast
CA-2017-140795,2/1/2017,2/3/2017,First Class,2,1,Shipped Late,BD-11500,Bradley Drucker,Consumer,United States,Green Bay,Wisconsin,54302,Central,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,469,6,0,206,702,506,78.17,43.92,Target Not Achieved,233,Over Forecast
CA-2017-123400,2/2/2017,2/9/2017,Standard Class,7,6,Shipped Late,EB-13930,Eric Barreto,Consumer,United States,Saint Petersburg,Florida,33710,South,OFF-BI-10000666,Office Supplies,Binders,Surelock Post Binders,18,2,70,-12,27,19,9,-66.67,Target Not Achieved,9,Over Forecast
CA-2017-123400,2/2/2017,2/9/2017,Standard Class,7,6,Shipped Late,EB-13930,Eric Barreto,Consumer,United States,Saint Petersburg,Florida,33710,South,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,181,5,20,14,271,176,36.2,7.73,Target Achieved,90,Over Forecast
CA-2017-139857,2/2/2017,2/6/2017,Standard Class,4,6,Shipped Early,CD-12790,Cynthia Delaney,Home Office,United States,San Diego,California,92037,West,OFF-FA-10001843,Office Supplies,Fasteners,Staples,12,5,0,6,18,11,2.4,50,Target Achieved,6,Over Forecast
CA-2017-111059,2/3/2017,2/6/2017,Second Class,3,3,Shipped On Time,TB-21400,Tom Boeckenhauer,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10002827,Office Supplies,Binders,Avery Durable Poly Binders,13,3,20,4,20,106,4.33,30.77,Target Not Achieved,7,Over Forecast
CA-2017-111059,2/3/2017,2/6/2017,Second Class,3,3,Shipped On Time,TB-21400,Tom Boeckenhauer,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,84,2,20,27,126,106,42,32.14,Target Not Achieved,42,Over Forecast
CA-2017-107181,2/4/2017,2/8/2017,Standard Class,4,6,Shipped Early,DB-13270,Deborah Brumfield,Home Office,United States,San Diego,California,92024,West,OFF-BI-10004230,Office Supplies,Binders,GBC Recycled Grain Textured Covers,83,3,20,29,124,122,27.67,34.94,Target Not Achieved,41,Over Forecast
